rank,dataset,experiment,model,variant,added_dim,k_concepts,scorer,membership,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,n_seeds
1,citeseer,citeseer_sage_svd_k64,graphsage,svd_control,64,na,na,na,0.7116,0.011706408501329518,0.6756884,0.009385176963701853,5
2,citeseer,scaling_ext__citeseer_qglobal_q090_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.7028,0.008772684879784534,0.6669416,0.005586307639219313,5
3,citeseer,citeseer_sage_fca_k64_support_hard,graphsage,fca_feat,64,64.0,support,hard,0.7,0.009959919678390964,0.6562926,0.01566456706838713,5
4,citeseer,citeseer_sage_svd_k32,graphsage,svd_control,32,na,na,na,0.6965999999999999,0.005388877434122953,0.6633078,0.004285376174853253,5
5,citeseer,scaling_ext__citeseer_qglobal_q090_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.696,0.013038404810405312,0.6558654,0.015373431205817462,5
6,citeseer,citeseer_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.6956,0.01059433811051919,0.6624196,0.010528411591498534,5
7,citeseer,citeseer_sage_fca_k128_lift_hard,graphsage,fca_feat,128,128.0,lift,hard,0.6928,0.011956588142108052,0.6540496,0.014165707911714136,5
8,citeseer,citeseer_sage_fca_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.6923999999999999,0.005238320341483544,0.6584908,0.007256382332815717,5
9,citeseer,citeseer_sage_fca_k128_support_soft,graphsage,fca_feat,128,128.0,support,soft,0.6923999999999999,0.005238320341483544,0.6584908,0.007256382332815717,5
10,citeseer,citeseer_sage_svd_k128,graphsage,svd_control,128,na,na,na,0.6923999999999999,0.007227724399837026,0.656895,0.005967998223860338,5
11,citeseer,citeseer_sage_fca_k32_support_hard,graphsage,fca_feat,32,32.0,support,hard,0.6896,0.01575563391298486,0.6535748,0.012873355621592997,5
12,citeseer,citeseer_sage_svd_k256,graphsage,svd_control,256,na,na,na,0.687,0.007321202087089228,0.650506,0.006676569987650865,5
13,citeseer,citeseer_sage_fca_k256_support_hard,graphsage,fca_feat,256,256.0,support,hard,0.6869999999999999,0.013696714934611161,0.6527192,0.016569977276991044,5
14,citeseer,citeseer_sage_raw,graphsage,raw,0,na,na,na,0.6832,0.007304792947099803,0.6425972,0.007644162593770509,5
15,citeseer,citeseer_mlp_raw,mlp,raw,0,na,na,na,0.548,0.002607680962081045,0.520361,0.004760773886670095,5
1,cora,cora_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.8144,0.006974238309665051,0.803426,0.006534342109195088,5
2,cora,cora_sage_svd_k64,graphsage,svd_control,64,na,na,na,0.812,0.011713240371477019,0.8028766,0.01054986658872991,5
3,cora,cora_sage_svd_k128,graphsage,svd_control,128,na,na,na,0.8116,0.003611094017053524,0.8062267999999999,0.003550431939919477,5
4,cora,cora_sage_fca_group,graphsage,fca_group,32,128.0,support,hard,0.8109999999999999,0.0057965506984757175,0.801979,0.005594731914935698,5
5,cora,cora_sage_svd_k32,graphsage,svd_control,32,na,na,na,0.8082,0.008423775875460985,0.7998682,0.007399499966889647,5
6,cora,cora_gcn_raw,gcn,raw,0,na,na,na,0.8076000000000001,0.0063435006108614415,0.8007566,0.0058921211324955355,5
7,cora,cora_sage_fca_k256_support_hard,graphsage,fca_feat,256,256.0,support,hard,0.8054,0.0062481997407252765,0.7969731999999999,0.005513313392144522,5
8,cora,cora_sage_fca_k128_support_soft,graphsage,fca_feat,128,128.0,support,soft,0.8036000000000001,0.0057827329179204025,0.7981348,0.0052713075948952245,5
9,cora,cora_sage_fca_k128_lift_hard,graphsage,fca_feat,128,128.0,lift,hard,0.8034000000000001,0.013720058308913968,0.7929012,0.014635418947197928,5
10,cora,cora_sage_fca_k32_support_hard,graphsage,fca_feat,32,32.0,support,hard,0.8016,0.006468384651518497,0.7922156,0.0076777787829553626,5
11,cora,cora_sage_fca_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.8009999999999999,0.006356099432828279,0.7957618,0.007601161316535768,5
12,cora,cora_sage_raw,graphsage,raw,0,na,na,na,0.8008000000000001,0.0083042157968107,0.7929472000000001,0.010848613024714257,5
13,cora,cora_sage_fca_intent2,graphsage,fca_feat,12,128.0,support,hard,0.7986000000000001,0.013602940858505524,0.7893154,0.013012535657588057,5
14,cora,cora_sage_svd_k256,graphsage,svd_control,256,na,na,na,0.797,0.003741657386773926,0.7921074,0.003765694177704843,5
15,cora,cora_sage_fca_k64_support_hard,graphsage,fca_feat,64,64.0,support,hard,0.7956000000000001,0.007088018058667757,0.7869082000000001,0.008115539351146072,5
16,cora,scaling_ext__cora_qglobal_q090_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.7928000000000001,0.009130169768410657,0.7847316,0.012009965055736017,5
17,cora,scaling_ext__cora_qglobal_q090_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.792,0.009121403400793072,0.7826392,0.00986759517613078,5
18,cora,cora_sage_pool_raw,graphsage,raw,0,na,na,na,0.7732,0.008840814442120152,0.7633862,0.008537379583923855,5
19,cora,cora_mlp_fca,mlp,fca_feat,128,128.0,support,hard,0.5862,0.001939071942966551,0.5655294000000001,0.002914112736323029,5
20,cora,cora_mlp_raw,mlp,raw,0,na,na,na,0.5715999999999999,0.007227724399837057,0.5579906,0.004377436034941018,5
21,cora,cora_logreg_raw,logreg,raw,0,na,na,na,0.46980000000000005,0.006939740629158972,0.46183959999999996,0.007791881636678019,5
1,pubmed,pubmed_sage_raw,graphsage,raw,0,na,na,na,0.7658,0.0059126981996377535,0.7612908,0.00464924365461738,5
2,pubmed,pubmed_sage_svd_k32,graphsage,svd_control,32,na,na,na,0.7658,0.008863407922464147,0.7632142,0.0072566099082147255,5
3,pubmed,pubmed_sage_svd_k64,graphsage,svd_control,64,na,na,na,0.763,0.007563068160475615,0.7593862,0.006629705857728506,5
4,pubmed,pubmed_sage_svd_k128,graphsage,svd_control,128,na,na,na,0.7615999999999999,0.0032000000000000253,0.7560498,0.0030808480910294697,5
5,pubmed,pubmed_sage_svd_k256,graphsage,svd_control,256,na,na,na,0.7614,0.004454211490264034,0.7561434,0.0032789816467921583,5
6,pubmed,scaling_ext__pubmed_topk_t10_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.751,0.007797435475847178,0.749776,0.008269808317004693,5
7,pubmed,pubmed_sage_fca_k256_support_hard,graphsage,fca_feat,256,256.0,support,hard,0.7396,0.010011992808627074,0.7392998000000001,0.009702370460871898,5
8,pubmed,scaling_ext__pubmed_qglobal_q075_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.7372,0.007984985911070846,0.7382342000000001,0.0083147855390263,5
9,pubmed,scaling_ext__pubmed_qglobal_q075_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.7336,0.0047159304490206585,0.7345112,0.005526704421262292,5
10,pubmed,scaling_ext__pubmed_topk_t10_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.731,0.007071067811865524,0.7305666000000001,0.006523503279680345,5
11,pubmed,pubmed_mlp_raw,mlp,raw,0,na,na,na,0.7256,0.008333066662399887,0.7252906,0.007363719076662279,5
12,pubmed,pubmed_sage_fca_soft,graphsage,fca_feat,128,128.0,support,soft,0.6934,0.01578733669749264,0.6997533,0.009843587649327802,10
13,pubmed,pubmed_sage_fca_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.6784000000000001,0.005678027826631343,0.6910828,0.00441791364333886,5
14,pubmed,pubmed_sage_fca_k32_support_hard,graphsage,fca_feat,32,32.0,support,hard,0.6698000000000001,0.007467261881037796,0.6801796,0.0063632568265000675,5
15,pubmed,pubmed_sage_fca_k64_support_hard,graphsage,fca_feat,64,64.0,support,hard,0.6616000000000001,0.003006659275674543,0.6753308,0.003618740908105995,5
